lhs,rhs
1457,47
311,127
8,86
1,88
192,36
364,118
81,101
746,60
875,105
778,28
0,163
1465,89
17,0
188,4
170,51
632,12
1481,48
1247,7
751,54
745,33
464,41
705,68
124,158
280,55
1707,6
8,164
706,4
532,20
364,118
30,114
273,37
17,0
1502,54
153,4
26,38
967,9
1320,31
741,47
643,3
94,155
696,8
1440,52
928,122
177,0
51,46
20,50
114,97
31,84
5,133
625,90
1274,135
180,14
339,100
148,25
592,13
861,14
0,163
4,36
1553,139
275,100
24,50
1,88
0,163
327,12
5,133
1066,13
509,125
196,18
906,67
709,84
127,11
548,70
12,104
1301,1
901,58
88,52
19,51
1,88
1019,100
1224,12
35,148
1023,45
113,72
1576,58
2,60
2,60
32,76
1090,48
1115,3
241,8
841,59
16,123
121,1
1560,82
0,163
1315,80
25,62
109,8
3,67
12,104
1741,10
1181,34
141,21
589,89
635,74
317,114
55,67
45,69
36,137
679,79
1222,50
480,122
826,59
1373,23
806,1
56,11
13,26
60,24
371,26
459,48
284,41
209,30
1155,81
160,106
167,102
126,76
1668,51
938,71
120,127
0,163
1286,59
1141,54
890,34
204,144
21,1
1,88
1235,96
57,153
1664,54
93,155
1059,13
775,43
1306,96
1662,19
5,133
31,84
407,58
287,68
7,125
108,12
2,60
10,109
434,40
282,119
105,113
581,100
207,112
10,109
305,2
1444,85
200,148
792,23
1316,99
1434,50
0,163
662,37
731,7
6,13
545,47
142,74
163,103
176,108
279,98
70,3
303,25
1434,50
143,25
537,20
305,2
6,13
198,63
828,148
1624,1
1655,3
343,66
118,91
551,99
272,138
798,78
395,54
6,13
510,59
20,50
43,65
139,117
1023,45
85,84
803,4
279,98
24,50
22,110
379,161
1298,87
960,22
451,37
114,97
7,125
682,160
508,10
1327,27
56,11
762,49
22,110
1025,2
124,158
52,61
739,108
0,163
1455,156
356,164
624,17
164,150
164,150
552,51
12,104
56,11
182,82
15,53
17,0
972,38
502,38
35,148
4,36
733,54
79,5
411,31
99,69
94,155
1718,7
223,55
211,90
843,33
0,163
1250,21
360,59
915,64
180,14
472,122
768,62
373,83
148,25
857,120
953,28
552,51
53,9
371,32
33,156
621,9
737,49
24,50
762,49
109,8
344,53
1,88
92,137
53,9
811,85
269,10
810,49
640,0
4,36
1560,82
1460,74
81,101
506,32
877,115
354,35
1,88
1346,111
1015,144
46,73
1194,123
2,60
32,76
1217,41
7,125
817,1
58,21
983,152
649,17
43,65
1005,7
957,141
552,51
337,19
316,14
162,143
858,49
356,164
194,37
134,135
5,133
40,96
350,17
203,42
475,21
86,111
1329,130
614,51
149,82
1088,100
1465,89
1478,51
21,1
15,53
55,67
949,22
1729,97
80,19
101,56
1096,42
1633,14
632,12
0,163
1725,165
341,32
27,157
0,163
1665,18
61,68
734,62
937,135
1599,105
30,114
993,13
31,84
497,22
1386,13
381,29
228,98
1129,58
145,71
1026,52
25,62
241,8
65,60
106,42
1661,157
1080,15
540,2
846,74
124,158
1157,44
270,97
1036,7
497,22
2,60
92,137
574,93
24,50
100,47
781,127
296,119
1206,61
1,88
557,46
798,78
688,135
0,163
10,109
4,36
65,60
123,16
846,74
374,19
56,11
1008,60
712,15
581,100
516,79
1418,70
318,68
2,60
142,74
978,11
1507,9
45,69
2,60
129,94
301,10
111,25
509,125
0,163
415,2
532,20
372,141
88,52
1326,42
713,33
190,34
456,45
502,38
441,23
1004,20
1,88
182,82
37,114
133,36
114,97
644,142
1714,114
300,139
6,13
907,9
68,4
159,6
816,66
161,4
859,115
582,120
112,1
772,4
0,163
1016,93
3,67
81,101
984,12
88,52
338,29
905,19
2,60
459,48
5,133
626,100
50,112
1596,42
271,82
6,13
1381,143
1007,102
923,151
201,15
254,8
546,68
349,21
830,86
253,18
1056,55
72,56
77,105
304,116
1,88
245,11
1711,63
1614,81
1601,39
96,54
546,68
299,73
83,1
854,127
19,51
1455,156
9,123
212,72
1552,28
1173,20
102,64
0,163
291,13
47,8
196,18
121,1
891,100
1120,13
75,3
1461,95
1507,9
1128,51
51,46
5,133
335,53
128,22
1410,19
643,3
1003,41
197,32
0,163
577,85
33,156
41,82
290,16
1697,122
300,139
62,22
599,90
861,14
30,114
38,3
342,44
19,51
799,147
648,3
22,110
518,82
1251,131
332,121
798,78
391,86
0,163
60,24
445,163
1240,67
17,0
1,88
0,163
193,49
591,38
1127,155
281,43
457,62
417,36
7,125
238,105
18,21
14,4
638,60
300,139
20,50
102,64
45,69
28,107
1508,5
330,161
556,11
7,125
0,163
61,68
119,34
11,77
647,13
8,164
629,94
809,129
483,38
308,23
595,3
398,52
1239,43
534,85
724,127
1013,125
777,0
1309,148
0,163
0,163
1054,1
245,11
175,67
0,163
107,1
1053,90
29,42
44,46
141,21
26,38
1290,75
651,143
16,123
972,153
490,99
15,53
565,11
47,8
80,19
380,101
1258,142
1020,92
550,19
32,76
528,57
1674,83
68,4
575,64
398,52
1342,57
39,57
193,49
439,155
15,53
0,163
688,135
171,39
1287,125
1729,97
322,117
92,137
864,25
145,71
21,1
1,88
277,26
805,34
1692,10
21,1
234,120
504,85
1034,113
906,67
1074,101
966,136
664,49
11,77
1350,144
485,19
181,18
884,35
2,60
158,35
136,2
20,50
1634,64
983,152
982,6
113,72
972,38
693,4
205,13
17,0
7,125
105,113
1230,6
44,46
754,52
3,67
160,106
503,112
348,142
1325,148
82,13
207,112
1201,9
1368,143
1557,73
121,1
299,73
279,98
1,88
42,38
345,66
985,3
771,76
457,62
16,123
1223,32
110,54
839,80
18,21
7,125
322,117
901,58
603,33
1280,35
195,161
1356,119
69,145
964,24
569,17
15,53
1506,17
1,88
84,21
1256,43
609,71
0,163
949,22
1711,63
1572,149
197,32
336,157
1735,65
798,78
4,36
749,44
28,107
1098,118
293,92
991,25
0,163
632,12
1660,106
0,163
89,71
13,26
10,109
804,104
204,144
11,77
478,2
752,130
18,21
370,17
17,0
1477,107
523,140
456,45
430,45
614,51
1361,126
1100,25
1454,39
1331,64
255,101
217,84
661,8
71,50
547,63
46,73
75,3
789,86
1237,163
177,0
244,66
726,71
0,163
2,60
343,66
117,161
256,6
226,129
36,137
128,22
381,29
1704,160
1441,10
133,36
1560,82
0,163
933,35
313,125
127,11
90,77
0,163
247,138
26,38
186,131
0,163
1254,69
8,164
1005,7
1221,3
108,12
40,96
1010,48
1039,49
3,67
903,35
403,111
1584,12
27,157
1151,44
94,155
119,34
23,58
1058,28
111,25
571,49
8,164
1021,37
23,58
601,139
1499,113
415,2
421,98
155,145
330,161
10,109
22,110
780,57
171,39
436,50
310,90
174,149
689,86
3,67
1219,34
365,139
295,157
623,75
431,1
0,163
246,91
364,118
591,38
13,26
1224,12
408,133
1333,15
95,49
1,88
585,67
0,163
1042,20
7,125
357,61
320,71
1729,97
642,8
1236,56
107,1
1401,84
175,67
28,107
1274,135
99,69
1399,50
993,13
1376,77
372,141
98,17
78,165
1310,0
534,85
475,21
159,6
1042,20
67,9
690,66
109,8
1261,39
816,66
578,1
1552,28
0,163
1097,17
1314,84
916,22
1587,67
1278,47
21,1
135,17
1473,62
690,66
113,72
40,96
710,15
5,133
1633,14
30,114
425,98
1000,47
6,13
1,88
1574,1
1093,20
15,53
0,163
514,153
12,104
1190,42
13,26
2,60
603,33
650,152
4,36
1,88
1,88
150,48
1538,134
608,40
741,47
1668,51
223,55
0,163
0,163
769,102
188,4
165,73
4,36
1292,14
78,165
73,3
17,0
244,66
6,13
716,148
994,133
1591,24
27,157
1619,97
99,69
627,117
9,97
609,71
1448,110
928,122
211,90
170,51
1738,125
844,110
987,59
159,6
126,76
223,55
103,1
831,12
309,13
249,153
542,140
109,8
577,85
696,8
314,28
69,145
1225,33
225,67
190,34
320,71
36,137
64,63
574,93
713,33
1,88
388,75
48,113
67,9
1304,30
51,46
486,160
17,0
1393,110
44,46
907,9
76,16
11,77
1520,106
210,153
384,5
1516,108
1462,10
2,60
1390,57
748,126
354,35
80,19
0,2
503,112
341,32
25,62
287,68
0,163
32,76
116,125
998,83
642,8
32,76
1117,58
1555,25
164,150
537,20
691,35
1066,127
373,83
1451,128
1549,73
1450,1
3,67
191,42
31,84
358,92
583,102
1076,116
111,25
72,56
848,33
2,60
1501,87
177,0
822,86
90,77
413,14
22,110
312,114
305,2
594,145
1718,7
219,72
504,85
1190,42
661,8
28,107
552,51
45,69
646,41
22,110
411,31
564,154
1089,19
1484,12
0,163
590,8
180,14
16,123
261,136
313,125
995,37
2,60
1706,156
680,40
60,24
878,109
219,72
347,2
108,51
342,73
55,67
75,3
1017,100
1,88
226,129
1171,119
488,141
320,71
449,41
1470,29
202,48
34,26
187,127
167,102
427,113
1295,18
436,50
72,56
15,53
638,60
95,49
0,163
28,107
157,148
388,75
1439,53
1174,49
92,137
1691,38
1366,80
974,8
1539,2
498,45
897,131
317,114
24,50
251,96
978,11
1657,66
708,79
377,3
185,100
4,36
1386,13
1738,125
51,46
23,58
628,127
426,92
645,113
364,118
1088,100
1315,80
242,55
1168,9
865,5
484,147
348,142
1597,108
33,156
8,164
1564,126
135,17
887,10
1270,72
3,67
239,101
231,81
1117,58
41,82
47,8
294,91
16,123
45,69
953,28
266,53
2,60
1584,12
230,9
269,10
18,21
341,32
1232,99
1440,52
74,88
18,21
347,2
1593,96
237,119
13,26
179,54
1618,48
900,76
2,60
13,26
368,13
109,8
1,88
17,0
537,20
1446,13
16,123
144,162
999,54
705,68
958,75
189,47
285,136
0,163
533,98
284,41
251,96
576,126
59,58
27,157
169,89
245,11
38,3
1109,28
6,13
9,97
1000,47
271,82
1452,8
194,37
1151,44
12,104
273,11
345,66
1622,98
239,101
35,148
9,97
45,69
1685,0
54,126
1234,8
1598,64
130,29
858,49
1659,53
454,40
497,22
1652,1
1424,60
1136,148
469,55
92,137
298,58
722,88
558,88
7,125
592,13
331,91
124,158
941,43
504,85
193,49
1549,73
432,153
50,112
733,54
255,101
1110,38
1054,1
11,77
2,148
86,111
568,2
1553,139
57,153
6,13
91,9
0,163
655,114
324,87
382,38
751,54
1421,101
1389,64
295,157
575,64
48,113
1258,142
317,114
1144,111
650,152
884,35
23,58
687,128
349,21
1097,17
1363,50
0,163
627,117
1202,52
0,163
227,157
20,50
89,12
1726,23
651,143
419,125
1088,100
1365,145
86,111
0,163
1667,20
126,76
1204,115
1054,1
286,30
990,82
1233,125
1414,73
0,163
943,111
48,113
913,84
862,115
1623,4
318,68
1502,54
1,88
2,60
1581,2
267,82
53,9
640,0
1,88
1485,29
475,21
755,77
398,52
863,52
596,11
182,82
26,38
0,163
766,143
890,34
113,72
478,2
32,76
1437,36
142,74
297,129
725,92
35,148
227,157
1,88
90,77
3,67
224,51
5,133
149,82
67,9
1303,117
28,107
220,139
1705,65
983,152
15,53
1540,55
439,155
528,57
1496,70
475,21
1012,50
515,147
24,50
12,104
996,52
430,45
6,13
65,60
938,71
943,111
888,115
267,82
454,125
168,60
2,60
893,13
986,95
2,60
1001,48
67,9
21,1
59,58
3,67
59,58
37,114
3,67
17,0
160,106
95,49
759,81
0,163
1532,105
82,13
452,17
554,82
310,90
755,77
405,26
788,13
611,114
94,155
153,4
590,8
44,46
909,54
193,49
682,160
162,143
1500,23
593,31
2,60
523,140
665,90
99,69
1,88
1,88
808,153
1452,8
99,69
1277,137
685,38
1547,14
1650,46
169,89
5,133
312,114
500,123
28,107
0,163
1407,55
74,88
707,110
1590,18
1706,156
35,148
6,13
174,149
268,62
86,111
1146,25
1080,15
217,84
1273,100
13,26
901,58
1102,94
775,43
1085,104
351,14
170,51
1120,13
1218,40
0,163
280,55
70,3
88,52
1330,3
896,134
804,104
434,40
40,96
924,22
148,25
1130,5
1233,125
32,76
386,160
805,34
1702,12
925,16
249,153
1522,131
276,23
764,60
43,65
154,80
969,25
898,96
0,163
426,92
44,46
556,11
34,26
84,21
29,42
1326,42
684,22
265,158
35,148
184,92
594,145
42,38
197,32
142,74
1305,40
140,27
414,115
733,54
922,23
1517,53
481,133
0,163
671,91
347,2
729,20
306,140
596,11
877,115
1285,158
90,77
819,87
582,120
306,140
381,29
1153,65
1588,59
241,8
1052,128
341,32
108,12
132,98
765,34
0,163
794,2
1550,76
1108,126
0,163
95,49
707,36
13,26
518,82
1660,106
1712,1
591,38
889,59
484,147
724,165
73,3
522,142
0,163
368,13
188,4
1288,93
102,64
0,163
249,153
486,160
522,142
278,55
212,72
276,23
94,155
98,17
716,148
1653,76
747,21
350,17
157,148
810,49
49,140
28,107
63,28
778,28
429,22
1053,90
82,84
736,149
1555,25
1714,114
753,13
1496,70
139,117
1204,115
814,82
54,126
26,38
1195,119
1016,93
9,97
783,27
371,26
4,36
0,163
194,37
996,52
184,92
1652,1
1433,53
98,17
812,159
1222,50
1379,45
0,163
8,164
1506,17
144,162
142,74
0,163
496,23
242,55
53,9
428,31
289,105
263,1
974,8
102,64
251,96
928,122
393,25
79,5
16,123
4,36
351,14
1364,14
633,26
39,57
1542,95
26,38
67,9
210,153
116,125
332,121
75,3
874,52
25,62
4,36
131,130
1000,47
158,35
0,163
181,18
200,84
0,163
2,60
44,46
73,3
64,63
1246,93
38,3
17,0
1651,93
1305,40
7,125
5,133
141,21
654,49
1216,0
369,113
609,71
23,58
1508,5
17,0
4,36
106,42
546,68
1284,19
1118,59
182,82
69,145
389,107
10,109
441,23
1682,25
786,77
398,52
410,50
1116,85
1022,91
702,77
1731,11
421,98
4,36
1047,91
1591,24
1689,87
937,135
61,68
1228,117
27,157
18,21
6,13
94,155
44,46
565,11
972,38
726,71
224,143
491,124
1451,128
682,160
161,4
1201,9
183,16
2,60
748,126
158,35
309,13
691,35
263,1
280,55
400,23
46,73
1689,87
49,140
237,119
587,10
1647,59
29,42
1320,31
1150,61
621,9
40,96
1622,98
0,164
183,16
416,91
51,46
1109,0
27,157
1289,67
57,153
1367,133
434,40
489,150
965,131
0,163
650,152
219,72
842,92
172,53
294,91
567,93
1540,55
1050,158
742,60
13,26
500,123
1406,48
6,13
988,0
0,163
310,90
880,53
1069,38
246,91
112,1
34,26
518,82
34,26
567,93
1124,59
1487,83
435,106
305,2
892,128
1151,44
27,157
1717,112
9,97
0,163
258,67
1336,133
4,36
35,148
130,29
1463,86
1287,125
682,160
820,2
1602,115
1054,1
64,63
405,26
0,163
0,163
411,31
1,88
342,73
6,13
346,19
1637,116
669,77
1555,25
202,48
159,6
610,11
595,3
45,69
802,73
1481,48
13,26
698,8
155,145
26,38
1219,34
447,33
149,82
1407,55
254,8
8,164
178,100
24,50
183,16
310,90
629,94
230,9
2,60
792,23
1343,67
150,48
1164,15
404,80
1144,111
101,56
338,29
11,77
592,13
204,144
94,155
1007,102
1452,8
1041,147
2,60
60,24
1437,36
161,4
689,86
1,88
1297,86
436,50
609,71
16,123
998,83
21,1
371,26
559,125
4,36
591,38
1466,78
1567,50
95,49
76,16
941,43
82,13
114,97
747,21
1017,100
167,102
1616,87
1165,26
712,15
1580,87
4,36
468,3
586,17
322,117
435,106
3,67
1372,155
549,10
1,88
494,51
563,34
28,107
74,88
416,91
194,37
15,53
