lhs,rhs
31965,1633
19639,2351
38301,1321
41,21039
448,32553
15096,845
6542,3293
8096,3164
22806,1295
7797,119
24849,6011
35,5
32357,11303
52191,17252
21449,15267
39522,5764
12788,13933
6226,24527
82270,10316
2237,29647
7316,15639
2175,4145
2673,4677
74078,1856
22732,19709
15005,17305
15285,26268
11098,4561
58767,20537
16255,9063
4362,19644
57887,8826
29160,9774
18286,23050
68707,33214
86080,28486
32234,1193
56,24299
20136,17661
2646,21249
31031,15115
666,606
56827,8761
25385,5543
70512,2137
84483,16213
17733,3992
31086,19488
65754,8384
64494,10131
33024,12555
5386,9076
23922,8798
31026,26046
44641,457
58216,30048
79631,17267
58131,12300
39890,7988
73897,29120
69317,8014
6232,25059
15868,507
65399,10073
7539,6078
18428,12603
11298,11579
4791,2394
337,4832
65568,1899
16128,8928
0,21105
10267,7202
38842,18129
14273,12912
4987,539
84949,21859
85971,9053
76642,10678
10426,29403
55281,19193
53582,24580
35244,3453
54535,3023
44848,12946
9831,9
25483,32172
74095,856
51,23976
9585,32416
35213,12293
2011,6429
9667,31587
34341,4981
73020,3482
62083,871
24711,4508
54942,15587
16094,10054
6164,2716
19167,11134
74816,23917
31607,14897
8076,18742
9014,31404
22906,22300
3612,7107
54755,12554
34,4564
2636,1595
50526,23947
4398,18476
85299,7745
80422,3888
5256,25468
1766,27949
53643,20356
30076,5707
37385,20479
6777,5954
3845,17228
83575,2761
78440,19783
9944,2420
2893,158
2993,31789
27064,867
23444,2219
68816,17901
61260,672
76619,2882
31274,1084
67853,6993
81660,13325
22824,14564
22968,22286
81616,21292
440,10869
1059,16
3425,16281
511,3013
44150,449
72904,21748
1018,24784
11763,6001
68084,9004
21386,19381
20314,32608
930,1099
68741,17234
1482,18696
1335,10450
2901,11
55815,7390
11963,1068
49656,9007
57,11033
7895,17648
7211,809
3003,29227
53730,33376
4877,16626
18,29623
25666,18297
65631,25419
16017,2032
77929,4586
18602,27324
8303,13898
45801,28265
3366,3465
50011,5151
70642,10854
84562,8104
167,274
43054,31866
11404,3329
13070,10699
6130,31060
10798,18036
14922,30097
82051,4327
83752,25319
17442,11421
16300,32078
6586,22971
40942,2126
72161,249
13842,5500
45144,996
2679,27750
41535,5432
8663,1065
8380,10589
34319,1452
1779,1134
8138,5139
4197,11729
69932,24729
600,21324
5104,11231
34067,4379
59430,15841
11725,14815
43686,4024
2223,2478
40255,3861
51836,86
28661,8972
15943,30987
47899,26951
3769,16961
33906,33035
71140,7727
67733,11786
42819,194
7109,13658
65992,28685
13159,7598
6229,26997
10785,22411
26945,2462
48683,2678
40830,13268
74617,15321
56297,4234
123,21555
668,27456
14590,13478
3474,11735
13623,281
18633,29910
251,30010
1406,21418
178,18154
65957,21797
70829,17294
67876,4279
2267,1917
12,1697
56262,47
15784,1686
78677,743
49035,26583
35785,31608
2665,1204
36600,20075
40557,16843
2000,8556
42790,1225
4598,12878
20773,12918
58176,5112
9418,6911
86488,12254
10926,7260
82540,9976
197,21957
11499,15670
27401,3081
69368,13044
13512,20064
7185,14245
27007,7324
23904,19506
10325,28365
32720,16017
18447,286
23432,3016
50264,11356
38916,1151
40711,16611
14052,6215
44681,8974
401,29267
49,22736
5211,26534
70598,23037
63623,29699
17070,1976
2935,21008
49009,31109
75011,3188
5944,22556
57376,26350
11360,3831
28860,4032
1097,2308
71960,127
21635,8415
3530,13255
28826,32683
11478,4468
46323,7540
1705,8652
1496,7243
27720,1973
10721,7857
53785,6766
44521,9447
569,1270
70139,22734
78196,14180
393,11008
15541,574
1220,22203
7,17855
0,834
74500,23790
12982,9301
1226,6950
51402,5461
0,13709
1,21410
43523,7860
11596,738
10899,3223
45988,30932
87104,5122
62845,5248
61600,15724
17591,21878
79337,5828
