column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30
119,0,190,7,2,11,5,16,5,5,4,2,5,6,1,2,0,0,0,3,1,3,1,2,8,1,9,5,9,8
94,3,112,0,11,8,6,18,4,7,4,5,1,2,4,7,0,1,0,1,0,0,1,3,1,8,9,1,7,9
148,0,215,0,10,6,7,8,2,5,3,1,3,6,1,3,3,1,0,8,1,1,2,1,2,2,8,4,6,4
106,8,3,6,8,12,0,13,2,4,1,3,3,2,0,0,1,0,8,6,4,9,1,3,7,5,9,3,1,5
24,7,109,7,0,8,8,3,2,5,0,5,5,0,0,1,2,0,3,1,0,0,7,1,0,3,6,4,0,9
163,9,38,2,6,9,7,13,2,4,2,2,5,6,0,1,0,9,2,0,1,7,9,7,2,6,6,5,2,2
30,2,76,3,3,16,1,4,2,9,5,5,1,7,3,0,0,8,1,5,8,1,6,4,7,0,1,9,2,9
178,4,33,6,0,12,8,0,7,2,3,5,0,1,5,6,1,0,9,0,4,0,4,3,2,2,3,5,6,2
206,5,152,6,3,5,3,9,1,0,0,5,0,6,7,9,0,2,0,4,3,7,4,3,5,5,4,7,4,5
27,1,31,0,10,13,1,19,2,6,2,1,2,0,8,0,9,3,0,7,0,3,0,0,1,6,7,4,4,2
122,6,138,6,6,12,1,21,8,4,1,1,3,0,0,5,8,0,6,9,6,0,1,2,5,7,8,3,5,8
78,4,154,9,1,2,9,12,0,1,4,1,3,2,2,0,0,4,3,0,9,9,5,5,0,2,7,4,2,6
212,3,68,4,8,8,1,5,0,4,2,5,0,7,2,5,8,9,0,1,8,1,1,2,8,7,3,3,7,0
198,0,30,8,4,16,0,8,8,0,4,1,1,9,0,0,0,2,3,8,5,5,1,1,2,4,2,4,8,7
18,4,215,0,1,16,3,22,8,9,4,0,4,9,7,9,0,8,9,5,0,5,2,0,4,2,6,7,5,9
35,4,54,0,3,2,2,22,4,7,3,3,5,5,0,1,1,0,9,0,1,6,0,4,4,4,4,6,0,8
8,5,12,2,9,3,6,11,1,9,2,4,1,9,0,0,0,8,0,0,0,5,1,7,9,1,1,4,0,9
151,0,116,0,5,1,4,2,6,3,4,5,5,1,1,8,3,7,2,0,4,2,1,4,2,4,6,3,4,6
162,0,20,6,11,10,3,14,2,9,4,0,4,9,7,9,0,8,0,8,0,1,4,0,6,7,6,4,6,0
30,2,148,5,2,16,4,17,4,7,2,3,1,1,0,0,0,1,0,5,0,0,3,2,1,3,8,4,7,8
89,2,94,7,2,12,0,1,2,2,2,2,5,6,3,4,1,1,0,4,3,3,0,1,4,2,9,7,6,2
88,4,186,3,4,3,1,1,4,4,2,3,1,2,0,5,8,0,3,2,9,9,6,4,4,3,1,5,7,0
84,6,31,0,3,7,0,18,2,2,5,1,0,8,3,0,0,0,4,0,2,2,0,0,5,0,7,4,1,3
204,9,145,7,7,16,1,20,3,2,1,5,4,3,8,5,0,0,6,0,2,3,0,1,2,1,9,7,1,7
78,4,21,7,3,9,6,19,2,6,4,3,4,9,0,7,4,3,3,1,0,5,7,6,5,6,3,1,6,0
118,1,83,8,7,8,7,17,1,2,2,2,5,6,9,3,1,5,7,7,0,7,3,0,4,0,0,5,2,9
215,1,23,5,3,3,0,16,2,4,0,1,1,8,0,4,8,1,7,7,7,2,8,0,0,9,9,1,2,5
76,0,149,2,4,5,0,17,0,1,5,4,5,0,3,4,6,0,0,8,6,0,1,0,7,6,1,5,6,7
60,3,210,7,1,6,8,21,5,2,2,3,3,3,5,2,0,0,6,1,0,1,7,6,4,0,7,1,0,9
36,0,39,9,4,8,9,5,6,6,3,3,3,4,1,0,9,3,0,8,1,0,0,1,0,3,7,4,8,5
4,6,67,3,3,15,7,0,1,7,5,0,4,9,9,0,0,0,4,0,5,5,1,4,2,1,7,3,5,8
10,6,83,8,11,12,9,21,6,6,4,1,3,2,1,1,3,0,4,0,3,9,0,0,1,7,2,1,9,5
133,5,87,5,4,12,3,9,1,7,5,0,1,7,7,9,1,0,0,0,8,1,0,2,4,7,9,5,1,7
59,2,102,8,2,17,9,5,0,4,2,3,0,4,1,0,0,9,0,0,0,4,0,1,3,9,6,5,1,9
70,8,77,8,1,0,6,11,6,0,0,1,2,7,4,7,0,0,8,2,4,1,0,0,3,2,6,4,4,0
154,6,130,5,8,13,5,7,0,3,0,0,2,4,3,0,3,2,1,9,0,2,8,1,7,0,3,6,8,9
106,1,70,0,7,17,2,17,4,7,1,5,1,0,6,0,0,1,7,0,0,3,1,1,8,8,7,6,2,4
48,5,67,3,1,17,0,2,2,7,1,3,1,1,0,4,1,0,0,0,1,0,2,6,1,0,7,8,2,3
102,7,85,9,5,14,3,6,4,9,3,0,4,9,7,2,0,8,3,1,5,5,0,5,7,3,6,3,9,8
90,5,41,8,1,5,1,16,7,0,3,5,3,4,1,5,5,2,5,4,1,3,3,1,0,6,1,1,7,2
177,7,6,5,0,17,1,19,2,6,2,5,0,7,8,0,3,3,3,0,4,1,1,0,7,5,7,5,7,7
109,2,157,4,1,2,9,12,2,6,5,5,2,6,1,0,9,3,1,0,3,7,0,0,6,6,6,4,3,6
27,1,189,9,6,0,8,20,4,0,2,5,4,0,0,6,5,0,0,0,0,0,5,5,5,7,5,1,6,2
182,8,122,9,0,16,2,3,5,3,3,4,4,0,6,0,2,7,1,6,0,3,0,1,9,9,9,0,9,8
14,0,16,7,2,16,4,11,0,5,5,5,2,6,1,0,7,3,0,1,3,3,0,6,2,2,5,9,8,9
178,4,3,6,9,16,9,2,0,5,3,5,2,0,1,0,0,1,9,0,6,3,4,0,7,3,0,7,8,2
13,5,18,3,8,13,5,17,6,4,5,0,5,2,0,0,0,9,5,0,0,9,2,4,0,3,1,1,0,2
206,5,45,6,6,15,4,12,0,1,2,2,1,3,2,8,6,4,5,4,0,6,4,3,6,0,0,4,2,7
22,2,174,6,2,15,1,12,7,6,5,1,1,4,8,5,2,3,0,5,1,4,1,1,5,4,4,1,0,9
58,7,212,2,2,14,8,8,4,4,3,3,4,9,5,6,8,1,3,1,0,1,9,0,7,0,4,9,1,9
196,7,214,5,4,6,8,22,4,7,1,1,5,8,2,0,1,1,3,2,7,2,8,0,2,7,1,2,0,9
182,8,48,3,0,4,0,18,0,6,5,4,1,5,3,0,9,2,8,6,3,0,2,1,7,7,1,9,2,3
34,3,159,7,1,1,9,12,2,0,5,4,2,9,1,0,0,2,6,1,0,5,7,6,0,9,4,5,6,5
97,2,89,2,4,6,8,3,6,2,2,5,3,2,0,0,1,5,1,5,9,1,9,0,2,0,0,0,5,7
39,6,75,5,0,14,5,19,5,9,4,1,0,8,0,3,0,1,4,9,0,2,1,0,9,3,8,4,5,5
128,2,88,7,5,16,5,16,6,3,3,3,4,9,0,2,2,7,1,5,5,1,0,6,7,3,4,7,1,4
115,6,215,0,8,14,6,4,6,1,3,1,3,6,1,7,6,3,2,9,1,1,1,0,4,9,1,9,2,3
103,5,122,9,1,1,9,11,4,7,5,1,0,8,1,1,0,1,5,4,7,2,5,1,8,7,9,4,4,5
21,0,25,9,7,12,9,22,1,8,5,2,2,6,1,0,1,1,4,8,1,7,4,1,7,0,6,9,5,7
143,8,28,3,11,0,8,22,7,2,0,2,5,8,1,6,0,0,0,6,7,0,1,4,6,1,1,5,0,4
43,3,24,1,5,0,7,0,2,6,3,4,1,8,9,1,3,0,6,1,0,1,1,0,4,3,4,5,1,9
88,4,155,0,5,12,2,18,4,7,2,3,2,8,0,0,0,0,9,8,0,1,2,1,6,2,9,4,2,9
59,3,37,1,9,12,3,7,1,7,2,4,0,7,7,0,0,0,6,1,6,1,0,0,4,8,6,9,6,5
17,1,59,2,2,11,5,3,7,1,3,1,5,0,3,2,6,4,0,0,6,0,9,0,4,8,0,4,5,1
186,5,71,7,11,3,7,11,3,6,0,5,1,4,0,0,3,2,5,4,1,5,1,0,0,6,9,7,5,0
34,3,124,7,6,9,7,12,5,1,5,1,1,4,1,0,6,4,0,0,0,4,7,6,7,2,9,4,0,2
128,2,49,0,0,5,1,10,7,7,3,5,5,7,1,0,1,1,0,0,8,1,2,0,3,4,8,2,6,9
135,0,20,6,6,16,0,10,6,8,5,2,3,5,0,4,9,1,5,1,4,8,4,0,8,0,0,5,8,9
164,1,31,0,5,16,5,12,4,2,0,3,5,2,1,1,1,0,7,7,9,1,1,0,2,0,4,7,5,8
182,8,28,3,1,14,6,4,5,2,5,0,5,1,4,0,0,5,8,1,4,2,2,4,6,7,1,9,2,8
131,4,44,9,1,6,8,21,7,0,4,3,5,2,5,0,5,2,0,0,9,9,0,1,5,9,7,5,5,1
78,4,159,7,3,9,6,20,1,6,3,5,0,1,4,0,3,2,3,0,2,0,1,1,4,2,1,5,9,7
206,5,211,3,11,16,6,17,4,7,0,2,1,9,0,7,1,1,5,4,0,5,1,4,0,7,1,6,4,3
101,0,41,8,3,6,1,12,6,7,2,1,2,0,0,5,1,1,2,8,6,0,3,1,8,3,4,9,0,6
109,2,40,5,5,3,1,22,7,2,4,3,4,9,1,5,0,1,1,5,0,0,8,0,9,6,6,4,0,0
213,4,53,6,4,5,4,3,1,6,3,5,0,1,2,2,9,3,9,4,1,1,4,1,8,4,7,4,6,2
89,2,177,0,9,7,2,15,0,5,2,5,5,8,0,1,1,3,0,5,7,2,0,0,0,7,2,1,0,0
194,1,26,0,4,6,8,8,0,1,4,1,1,9,5,1,6,1,0,7,0,1,2,1,7,7,7,1,0,7
201,2,18,3,6,3,3,15,6,1,5,1,0,8,2,4,6,4,1,2,0,2,2,4,6,2,9,5,9,4
52,6,106,3,3,14,9,0,2,6,0,2,3,1,1,0,9,3,4,9,4,2,2,5,4,2,3,1,0,9
75,2,186,3,6,6,5,16,2,4,0,5,5,0,2,2,1,0,2,5,6,0,3,6,7,9,1,7,2,0
140,3,212,2,6,6,5,17,7,9,0,5,2,9,3,3,2,8,6,1,0,5,9,0,9,3,0,8,3,1
18,4,30,8,8,16,4,3,6,2,1,4,4,4,2,8,1,0,4,2,0,4,3,5,8,6,6,9,5,9
30,2,90,3,6,9,7,13,5,3,5,4,2,9,9,3,3,1,0,5,2,1,2,4,5,6,9,4,5,0
198,0,92,1,7,4,0,11,2,8,5,3,0,8,3,4,4,6,3,3,0,1,2,8,8,0,7,8,0,9
68,7,126,3,5,12,2,16,5,5,0,0,1,3,6,1,7,0,3,0,1,0,6,4,8,2,4,1,9,9
127,5,160,9,10,12,7,12,1,4,4,5,4,0,0,3,8,0,5,1,6,3,0,3,3,5,3,4,4,8
168,5,159,7,11,3,7,0,6,1,0,2,0,4,2,3,6,1,0,0,0,4,0,6,3,2,3,4,4,6
205,6,30,8,11,14,3,2,4,9,4,4,0,1,0,2,0,8,4,0,2,2,0,1,8,7,0,5,4,0
