column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30
178,0,107,2,1,2,0,2,0,3,0,0,4,3,1,0,1,3,3,1,4,4,0,2,4,0,2,0,0,0
170,4,122,2,0,1,1,2,4,4,5,5,4,2,0,4,0,1,0,1,0,4,0,2,0,1,2,0,2,2
121,4,152,0,0,0,2,0,4,4,5,2,0,3,1,0,4,0,0,4,0,0,1,4,2,3,4,1,3,2
24,4,166,3,3,2,0,2,3,1,0,2,4,0,1,0,0,3,0,4,4,0,2,2,4,0,2,1,2,0
9,3,84,2,1,2,0,2,3,1,0,3,3,1,2,0,1,3,2,2,1,2,1,0,4,3,4,3,2,3
202,3,80,1,0,0,2,1,0,1,1,1,2,3,1,0,4,0,3,2,1,3,1,3,2,1,2,3,1,2
137,2,154,3,0,0,2,2,6,4,3,3,0,4,0,4,4,2,2,0,2,1,3,3,2,4,2,4,3,4
84,4,89,4,0,2,1,2,5,3,1,2,4,4,1,1,3,0,0,3,4,2,1,0,0,1,3,1,4,4
93,2,93,1,1,2,0,2,0,3,1,3,5,0,1,0,1,3,4,1,3,1,1,0,3,0,3,0,3,4
64,3,173,0,3,1,3,0,4,4,4,2,2,3,0,0,1,4,4,2,0,0,3,4,4,3,2,0,1,4
159,3,111,3,3,0,1,1,0,1,4,1,0,1,4,0,1,0,0,2,4,1,0,0,3,0,4,0,1,0
58,0,87,1,0,2,1,1,4,0,3,5,3,3,3,0,1,2,2,2,3,1,0,2,2,2,2,4,4,0
18,2,134,0,3,0,1,2,4,0,3,3,0,4,0,1,1,0,1,3,0,3,0,4,3,4,4,1,4,2
156,1,91,0,0,2,0,2,6,4,1,2,5,3,0,4,2,1,2,2,1,3,0,2,0,3,2,0,0,1
21,1,203,1,1,2,0,0,6,3,3,1,1,2,0,1,2,1,3,2,1,4,0,0,4,2,1,3,1,3
7,1,185,0,0,0,2,2,3,1,2,1,1,0,1,4,1,2,2,0,0,0,2,3,2,1,1,0,0,2
47,2,82,4,1,0,2,2,0,3,4,0,0,4,1,3,1,0,0,3,4,1,1,0,0,4,1,4,0,2
210,0,154,3,0,2,0,2,4,4,0,5,2,2,0,0,1,3,0,1,2,2,3,2,2,0,0,1,1,2
34,4,161,3,0,2,0,0,4,4,4,5,4,2,2,4,0,3,2,0,2,4,3,2,0,0,0,0,3,0
156,1,209,0,3,2,0,2,5,3,5,1,3,0,4,3,0,4,2,0,0,3,1,4,4,0,3,0,0,2
144,4,159,2,0,2,0,0,2,1,2,1,2,3,3,0,1,2,1,4,0,3,2,0,2,4,4,3,4,0
142,1,31,4,0,0,2,0,6,3,0,2,3,2,2,1,1,0,0,2,0,0,4,0,3,0,2,0,1,2
15,1,6,0,3,1,3,2,4,4,3,5,4,1,4,2,3,4,3,0,0,3,4,2,3,1,3,1,3,2
165,0,139,2,0,2,0,2,4,4,3,0,3,1,4,2,2,3,3,2,3,0,0,0,4,1,1,0,1,4
171,1,58,4,3,0,1,0,6,3,3,1,4,3,0,0,1,0,2,2,4,0,4,2,4,0,1,0,1,2
204,1,179,0,0,2,0,1,6,4,5,1,5,4,1,1,1,1,2,0,0,3,0,2,0,3,0,3,3,1
121,4,206,3,1,2,0,1,0,1,0,1,5,3,1,4,0,0,0,0,4,4,2,0,0,0,3,0,2,2
170,2,129,0,3,1,3,0,4,4,3,4,4,2,4,4,2,4,3,0,0,0,1,3,4,3,4,1,0,4
21,1,180,2,2,2,2,2,4,4,3,5,3,3,3,4,4,0,2,1,2,4,3,4,2,0,0,0,1,3
81,3,63,0,0,2,0,1,0,2,4,5,5,3,0,0,0,3,4,0,0,0,1,1,3,1,1,3,2,2
141,0,184,1,0,0,2,2,1,2,5,3,3,0,0,3,1,2,2,1,1,2,0,1,2,1,4,3,1,2
107,3,15,1,3,2,0,1,4,0,0,5,3,0,1,3,1,2,4,0,1,4,2,4,3,0,1,2,1,2
126,0,184,3,0,0,2,2,6,4,3,5,3,3,3,1,4,2,4,1,0,2,2,2,3,1,0,1,1,2
3,3,36,0,0,1,1,1,0,4,4,3,1,1,0,2,4,1,4,2,1,0,3,2,4,2,1,1,2,2
7,1,139,0,3,1,3,0,2,1,4,1,4,3,0,1,0,0,2,0,1,3,1,0,1,4,2,2,0,1
105,1,215,2,0,2,0,2,1,2,3,1,3,0,1,2,1,3,0,2,4,4,0,1,4,0,0,1,3,0
16,1,26,2,3,2,0,0,1,3,1,0,2,2,2,1,1,1,2,2,1,0,4,0,0,3,0,2,2,2
48,1,158,4,3,1,3,0,4,4,4,5,5,3,0,0,3,4,2,0,0,0,0,2,2,1,3,0,0,2
15,3,40,4,3,2,1,2,0,3,2,1,1,0,0,3,1,0,2,1,4,0,0,0,4,3,3,0,3,2
10,1,159,2,0,0,2,0,4,4,0,5,3,0,4,3,4,3,2,0,4,1,3,2,2,3,2,0,0,2
191,3,92,4,3,0,3,0,6,3,5,5,5,0,1,1,0,0,2,0,2,0,0,4,0,3,3,0,3,4
159,3,179,0,0,3,3,0,6,3,1,1,0,1,2,0,3,4,4,1,1,3,1,0,3,4,0,3,3,4
143,0,72,3,3,1,3,0,3,2,2,2,0,2,3,1,3,0,2,1,2,2,4,2,0,0,1,0,0,2
210,0,175,1,3,1,1,0,0,0,3,5,3,3,3,3,2,2,3,1,1,4,0,4,0,1,1,2,0,1
172,3,158,4,3,2,0,2,1,2,5,1,0,4,1,4,0,3,0,2,0,1,1,4,0,2,1,0,3,4
95,3,157,1,0,2,0,2,3,1,0,2,3,2,2,4,0,3,1,2,1,1,4,0,3,4,0,3,0,2
193,4,46,1,1,2,0,0,6,3,0,1,0,2,0,1,1,3,0,4,3,1,4,2,0,2,2,2,1,4
161,0,22,2,0,3,3,2,4,4,2,3,0,4,1,1,3,4,3,2,3,4,0,2,4,4,2,0,2,4
6,0,64,3,0,0,2,2,4,4,0,2,4,0,1,3,4,0,2,1,2,2,1,3,2,1,3,3,2,2
92,0,73,1,2,2,2,1,3,1,3,4,2,3,1,0,1,3,3,1,3,1,0,0,4,0,0,2,2,3
81,3,111,3,0,1,2,0,1,3,4,0,3,4,0,4,4,2,4,2,2,2,0,1,3,1,4,1,2,2
64,3,117,2,3,0,1,0,6,3,3,0,0,3,3,0,1,0,1,0,2,0,4,0,4,2,4,0,2,2
16,0,43,2,3,2,0,1,4,0,1,3,2,1,4,0,2,4,2,2,0,1,0,1,2,0,3,0,4,4
142,1,84,2,0,2,0,2,3,1,5,5,3,4,1,1,1,1,2,2,2,1,2,0,3,0,3,0,0,0
159,3,206,3,0,3,3,2,4,4,0,1,5,3,0,0,1,0,3,0,4,2,3,2,2,4,0,0,2,2
179,0,200,1,1,2,0,0,2,1,3,3,2,0,1,3,0,1,0,2,3,2,1,0,4,4,2,2,0,4
146,3,210,1,2,0,0,2,4,4,5,2,3,2,0,1,1,1,4,1,1,4,2,1,3,4,1,4,2,2
125,3,176,4,2,1,1,0,3,2,4,1,4,3,3,1,2,1,4,2,0,1,0,2,3,2,4,0,4,1
63,4,154,3,3,0,1,2,6,0,3,3,0,4,0,4,1,0,0,4,0,2,2,3,3,0,3,2,3,4
176,3,87,1,3,0,1,1,1,0,4,3,4,0,4,2,0,0,4,0,1,2,0,4,4,4,0,1,2,1
210,0,137,1,3,2,0,0,6,2,3,1,1,2,1,0,4,1,3,0,1,1,1,4,2,2,2,0,0,2
38,3,51,4,2,0,0,2,4,4,5,1,4,1,4,4,1,2,4,2,4,1,3,2,4,0,4,1,0,1
27,4,17,2,3,0,1,2,6,4,0,1,4,1,2,0,2,0,1,4,1,4,3,0,3,3,3,0,2,2
50,2,87,0,2,0,0,2,4,4,5,3,4,3,3,0,2,1,2,3,0,3,3,2,3,1,0,2,4,2
119,1,84,2,1,0,2,2,5,3,0,1,0,2,4,1,4,0,0,0,0,4,4,2,4,3,2,0,2,4
